Name,Alias,Abbreviation,"Latitude, Longitude",Altitude,Alternate Entrances,Location Type,Address,Informative Text,Image
7-Eleven,"711,Seven Eleven,7/11",,"28.60723983628899, -81.19821074070208",0,,Store,4266 W. PLAZA DR.,"The 7-Eleven store, conveniently located on campus, offers a variety of snacks, drinks, and everyday essentials to students and staff. This 7-Eleven does not sell alcohol, cigarettes, or lottery tickets.",https://i.ibb.co/pKpSxFB/2022-11-01.jpg
Addition Financial Arena,"Addition Arena,Arena",ARNA,"28.606871334381164, -81.19768500015638",0,,Building,12777 GEMINI BLVD. N.,"The arena was originally built in 1991, with a capacity of 5,100 and was home to men's basketball, women's basketball, and volleyball, and was also used for events such as concerts and commencements.",https://photos.app.goo.gl/t2WpJ7CNiSvJPRW6A
Alumni Plaza,,,"28.598697679143864, -81.2025523884025",0,,Other,,"The Alumni Plaza, constructed between March and May 1989 in front of Millican Hall at UCF, honors alumni donors of $1,000 or more to the Alumni Trust Fund. It features a wall with donor bricks, landscaping, a statue of President Millican, and a 1976 time capsule set to be opened in 2026.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b126.jpg
Arboretum Greenhouse,UCF Arboretum,AGH,"28.5997002810181, -81.19712059466288",0,,Other,4160 LIBRA DR.,"The Arboretum Greenhouse is a hub for plant research, environmental education, and biodiversity conservation. It offers controlled environments for study, hands-on learning, and preservation of endangered plant species, contributing to sustainability and ecological awareness.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/EL_TR25.jpg
Arboretum Portable,Arboretum Trailer,ARB,"28.60064472358259, -81.19691034080233",0,,Other,4312 SCORPIUS ST.,"The Arboretum trailer or portable facility is a versatile space, enhancing the arboretum's outreach and educational programs. It supports various activities, from plant propagation to educational workshops, and serves as a valuable resource for environmental and sustainability initiatives.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/EL_TR25.jpg
Art Gallery,,,"28.602824232884434, -81.20389221294974",0,,Other,12400 AQUARIUS AGORA DR.,"The Art Gallery is a dynamic space showcasing a diverse range of visual art. It serves as a cultural hub for exhibitions, events, and artistic exploration, fostering creativity and engagement.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/artgallery_b51b.jpg
Arts and Humanities,COLLEGE OF ARTS & HUMANITIES,CAH,"28.604384691663792, -81.20268628028958",0,,Building,12421 AQUARIUS AGORA DR.,"The Arts and Humanities Building, completed in 2010, exemplifies the university's dedication to arts and humanities. It offers modern facilities for academic and creative pursuits and hosts various departments, enhancing cultural and intellectual exploration at UCF.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b87.jpg
Arts and Humanities Annex,COLLEGE OF ARTS & HUMANITIES,,"28.604202662581347, -81.20200757287178",0,,Other,12501 AQUARIUS AGORA DR.,"The Arts and Humanities Annex is a supplementary facility supporting creative and academic activities at UCF. It complements the main Arts and Humanities Building, providing additional space for artistic and intellectual endeavors.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b87.jpg
Barbara Ying Center,"CMMS,Barbara Ying,BARBARA YING CENTER - CMMS,BARBARA YING CENTER",BYC,"28.595575792784132, -81.20271606069261",0,,Building,12815 SCHOLARSHIP DR.,"Dedicated in 1996 by Dr. Nelson Ying, the Barbara Ying Center at UCF serves as a multifaceted hub for social, cultural, and intellectual activities, highlighting a commitment to international relations across various fields.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b71.jpg
Barnes & Noble,Book Store,BN,"28.606618326665448, -81.19695390703995",0,,Store,4201 E. PLAZA DR.,"Barnes & Noble is the university's on-campus bookstore. It offers a wide range of textbooks, academic supplies, apparel, and merchandise. It's a hub for students and the community, providing convenient access to educational resources and university spirit items.",https://i.ibb.co/Wprt9Bz/2016-05-14.jpg
Biological Sciences,"Biology,Biological Science,BIOLOGICAL SCIENCES BUILDING",BIO,"28.600282037173688, -81.19869464998054",0,,Building,4110 LIBRA DR.,"The Biology Building is a hub for life sciences, research, and education, housing various departments and laboratories. Despite budgetary challenges during construction in 1970, it retained its original four-story design with room for future expansion.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b20.jpg
Breezeway,John T. Washington Center,"JTWT,JTWC","28.601128514446152, -81.20116977989981",0,,Building,12795 AQUARIUS AGORA DR.,"The John T. Washington Center, initially intended as a student union in 1979, now houses various campus amenities, including the bookstore, Card Services, dining options, and Addition Financial. It was named in honor of a dedicated sociology professor known for community service. The bookstore underwent renovation in 1999.",https://i.ibb.co/MsS7vWh/b26.jpg
Burnett Garden,,,"28.602204896119957, -81.201716578305",0,,Other,12778 AQUARIUS AGORA DR.,"The Burnett Garden is a tranquil outdoor space on the campus, featuring lush landscaping and seating areas. It provides a peaceful retreat for students and visitors, fostering relaxation and reflection amid the academic environment.",https://i.ibb.co/30bbf5J/5a20dc158d1f5741cf7bc93b69b5ccdd.jpg
Burnett Honors College,,BHC,"28.60225543104697, -81.20251478092193",0,,Building,12778 AQUARIUS AGORA DR.,"The Burnett Honors College, funded by Al and Nancy Burnett, opened in 2002 with state-matched donations. It offers classrooms, labs, a meditation garden, smaller class sizes, research opportunities, and a living-learning community for honors students.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b95.jpg
Burnett House,,BH,"28.59612584682373, -81.20478803245207",0,,Building,1000 CENTRAL FLORIDA BLVD.,The Burnett House is the official residence of the university president. It serves as a venue for hosting various university and community events.,https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b100.jpg
Business Administration I,"Business Administration 1,Business Administration Building 1","BA1,BA 1,BA","28.601354057793337, -81.19922173431837",0,,Building,12744 PEGASUS DR.,"The Business Administration I Building, constructed in 1986, marked a significant expansion for UCF's College of Business. This modern facility was designed to accommodate the growing demand for business education and research.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b45.jpg
Business Administration II,"Business Administration 2,Business Administration Building 2","BA2,BA 2","28.600970898423682, -81.19832343396035",0,,Building,4336 SCORPIUS ST.,"The Business Administration 2 building, finished in 2003 at a cost of $10 million, houses multimedia classrooms, a career center, and programs such as DeVos Sports Business Management, Economics, and Marketing. It was proposed due to significant enrollment growth in the late 1990s, with enrollment increasing by 75% by the early 2000s.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b94.jpg
CAPS,Counseling and Psychological Services,CAPS,"28.599261605184054, -81.19880358679214",0,,Building,4090 LIBRA DR.,"The Counseling and Psychological Services Building, established in 1996, was created to address the growing need for mental health support among students. It provides counseling and resources for emotional well-being on campus.",https://i.ibb.co/rbRFcmj/b27.jpg
Career Services,"Experiental Learning,CAREER SERV & EXP LEARNING","CS,CSEL","28.60522392549627, -81.1988854813382",0,,Building,4123 PICTOR LN.,"The 25,000 sq. ft. building, finished in November 2010, accommodates the Office of Experiential Learning and Career Services. Funded by the Student Government Association, it offers a career library, computer resources, interview rooms, and classrooms for career-related activities.",https://i.ibb.co/jG68JZN/career-services.jpg
Chemistry Building,Chemistry,CHEM,"28.60018683553691, -81.19972638429336",0,,Building,4104 LIBRA DR.,"Originally planned as the Science building, it featured classrooms, offices, labs, and an auditorium. Due to rising enrollment, it was converted into the Chemistry building, doubling its space to 27,948 sq. ft. The Chemistry department boasts notable professors, like Kevin Belifield, renowned for early cancer imaging research.",https://i.ibb.co/fQSKp8P/b5.jpg
Chick-fil-A,CFA,,"28.59613047603029, -81.19892850863678",0,,Restaurant,12820 GEMINI BLVD. S,This Chick-fil-A opened in 2019 as part of the Knights Plaza expansion.,https://static.cfacdn.com/photos/restaurants/01640/large.jpg
Chilled Water Plant,,,"28.604898783691517, -81.20182969873868",0,,Other,,"The Chilled Water Plant, established in 1985, is a vital utility facility. It was designed to provide efficient cooling to the growing UCF campus, enhancing the university's ability to maintain a comfortable environment for students and staff.",https://www.ucf.edu/wp-content/blogs.dir/4/files/2018/09/InFocus-PowerPlant-Main-ucf_88595234-warm.jpg
Classroom Building I,"Class Room Building 1,Class Room Bld. 1,Class Room Bld. I,Class Room Building I,Classroom Building 1","CB1,CB 1","28.603585221862534, -81.20016456881753",0,,Building,12601 AQUARIUS AGORA DR.,Classroom Building 1 was constructed in the early 1970s as part of the university's initial campus development. It has served as a key educational facility for students pursuing a wide range of academic disciplines.,https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b79.jpg
Classroom Building II,"Class Room Building 2,Class Room Bld. 2,Class Room Bld. II,Class Room Building II,Classroom Building 2","CB2,CB 2","28.60421974073778, -81.19971058519236",0,,Building,12650 GEMINI BLVD. N.,"Classroom Building 2, constructed in the early 1990s, expanded the university's academic infrastructure to accommodate a growing student population. It has since been a vital space for teaching and learning.",https://i.ibb.co/55QcxKh/Classroom-Building-II.jpg
College of Sciences,COLLEGE OF SCIENCES BUILDING,"COS,CSB","28.601198365091317, -81.20003169696786",0,,Building,12716 PEGASUS DR.,"The College of Sciences Building, constructed in 1996, was a significant addition to UCF's academic landscape. It provides modern facilities for a wide range of science disciplines and has played a key role in advancing scientific research and education.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b54.jpg
Crabbendam Point,,,"28.609633763342913, -81.1905786692282",0,,Other,10 N ORION BLVD.,Something happened here...,https://i.ibb.co/JnRYM8n/crabbendampoint.png
